re_text,prevalence,se_prevalence,adjustment_type,RSE,outcome
AIAN,0.4593673623586862,0.026634249298822393,Standardized,5.798028219084852,smoke
AIAN-Black,0.3052484881500507,0.059180841,Standardized,19.387758973479414,smoke
AIAN-Black-White,0.5065002522155225,0.059353705,Standardized,11.718395951696655,smoke
AIAN-Multiple,0.40641470054080703,0.047048317,Standardized,11.576430916278174,smoke
AIAN-White,0.5589091086234956,0.031084372,Standardized,5.561614818679553,smoke
Asian Indian,0.15811660905504493,0.016035937,Standardized,10.141842307784243,smoke
Asian-Black,0.42543177315003267,0.088115366,Standardized,20.711985125039984,smoke
Asian-Multiple,0.36055456350975423,0.067755359,Standardized,18.791984906539344,smoke
Asian-NHPI,0.16207895759162458,0.043861565672416475,Standardized,27.061850794308796,smoke
Asian-White,0.3831381527481232,0.037174369983560315,Standardized,9.702601977099086,smoke
Black,0.37989863176269967,0.010340711990768903,Standardized,2.721966105218336,smoke
Black-Multiple,0.3511195991141273,0.074224974,Standardized,21.139513192304854,smoke
Black-White,0.3643135157770261,0.043388247319525494,Standardized,11.909590350219334,smoke
Chinese,0.18148653857858615,0.013887266906102643,Standardized,7.651954252292528,smoke
DK/R,0.34957194503870237,0.019640240011322856,Standardized,5.618368490397138,smoke
Filipino,0.3251213954006005,0.017481273626593682,Standardized,5.376845041235756,smoke
Hispanic-AIAN,0.379665412,0.016800285731974392,Standardized,4.425024031,smoke
Hispanic-AIAN-White,0.4749124482857078,0.057431509,Standardized,12.093073029278091,smoke
Hispanic-Asian,0.3627948275573521,0.048062683,Standardized,13.247896407619772,smoke
Hispanic-Black,0.33872753001455885,0.023659018986609742,Standardized,6.984675554890048,smoke
Hispanic-Black-White,0.19990979107791448,0.049130961,Standardized,24.576565593947546,smoke
Hispanic-NHPI,0.41240706026421303,0.058315120070500374,Standardized,14.14018470807463,smoke
Hispanic-White,0.3006735996258752,0.00489095,Standardized,1.6266642049995945,smoke
Japanese,0.3699431151430801,0.034689482,Standardized,9.376977393915219,smoke
Korean,0.4222745477736386,0.040142980022046255,Standardized,9.506369785650687,smoke
Mexican,0.3003440647316293,0.009090755,Standardized,3.0267804709252153,smoke
Multiple Hispanic,0.3914691735992703,0.047729389,Standardized,12.192374722361112,smoke
NHPI-Multiple,0.4225331024366034,0.070108819,Standardized,16.592503335815305,smoke
NHPI-White,0.4045800415477666,0.077932555,Standardized,19.26258020167125,smoke
Other Asian,0.23708505549161046,0.020497037622377468,Standardized,8.645436372982514,smoke
Other Hispanic,0.2717624541865439,0.016612169,Standardized,6.112753471332914,smoke
Other Pacific Islander,0.3288454246256338,0.051504973696219834,Standardized,15.662365913971415,smoke
Other Race,0.38029810013158627,0.019784159497850555,Standardized,5.202276711612567,smoke
Other Race-White,0.4491692782123768,0.057385007,Standardized,12.775808432331914,smoke
Puerto Rican,0.31924132531458865,0.060577118,Standardized,18.975337120611943,smoke
Samoan,0.5039864233282532,0.07760771,Standardized,15.39877001918839,smoke
Unspecified Asian,0.21421105074391986,0.020551618,Standardized,9.594097795,smoke
Unspecified NHPI,0.40009346020747005,0.054453339158813806,Standardized,13.610154769982197,smoke
Vietnamese,0.19957439809338068,0.022751738360398142,Standardized,11.400128762885018,smoke
White,0.41160238388259046,0.003553213,Standardized,0.8632635803872413,smoke
AIAN,0.46381268079037813,0.025996132611060378,Standardized,5.604877505022212,drink_any
AIAN-Black,0.5219943660431773,0.043112341758790404,Standardized,8.259158444,drink_any
AIAN-Black-White,0.5521666068864671,0.067117546,Standardized,12.155306886177279,drink_any
AIAN-Multiple,0.5177840127603657,0.051644526,Standardized,9.974144625740863,drink_any
AIAN-White,0.5070653907425497,0.030527784138137976,Standardized,6.020482702128989,drink_any
Asian Indian,0.45144315481710634,0.023103829,Standardized,5.117771373632964,drink_any
Asian-Black,0.4758689049255667,0.085956295,Standardized,18.06301984896561,drink_any
Asian-Multiple,0.5910548617424037,0.063067161,Standardized,10.670271892555446,drink_any
Asian-NHPI,0.5382854755877186,0.056633458928680346,Standardized,10.521082491933484,drink_any
Asian-White,0.6497845559142563,0.035892542,Standardized,5.523760461765806,drink_any
Black,0.5281454632421081,0.010448826797656253,Standardized,1.9783994230518247,drink_any
Black-Multiple,0.6984362626482334,0.051783576,Standardized,7.414216364608244,drink_any
Black-White,0.6277962245756392,0.045215237,Standardized,7.202215578766554,drink_any
Chinese,0.46198154609033204,0.016395984869909893,Standardized,3.5490562358315407,drink_any
DK/R,0.5273881984135864,0.022569401314422338,Standardized,4.279466507273462,drink_any
Filipino,0.490802676,0.018861972662224252,Standardized,3.843086761282162,drink_any
Hispanic-AIAN,0.4989168594448154,0.017614450983888624,Standardized,3.5305383352828823,drink_any
Hispanic-AIAN-White,0.6209761723537551,0.058681328,Standardized,9.449851856093447,drink_any
Hispanic-Asian,0.45364382477426374,0.044237431,Standardized,9.751577846822554,drink_any
Hispanic-Black,0.4150239484820174,0.02452452,Standardized,5.909181773395767,drink_any
